File,True Positives,False Positives,False Negatives,Precision,Recall,F1
results-CM1-NASA_no_llm-1.json_c399af43-7604-3608-9acb-49f6058b63e4.md,9,13,36,0.4090909090909091,0.2,0.2686567164179105
results-CM1-NASA_no_llm-10.json_b72c7b66-4b71-36a1-9422-8185d06efbee.md,40,180,5,0.18181818181818182,0.8888888888888888,0.3018867924528302
results-CM1-NASA_no_llm-11.json_a4da99c1-4598-3a28-9524-7c4d35d65efa.md,41,201,4,0.16942148760330578,0.9111111111111111,0.2857142857142857
results-CM1-NASA_no_llm-12.json_acdb715f-b1e3-335e-a548-00615abbb9e7.md,42,222,3,0.1590909090909091,0.9333333333333333,0.27184466019417475
results-CM1-NASA_no_llm-13.json_30c79517-074d-3f53-b062-92a1c3a755fc.md,44,242,1,0.15384615384615385,0.9777777777777777,0.26586102719033233
results-CM1-NASA_no_llm-14.json_6135f127-7b30-35da-a2d6-a8d1c44763e1.md,44,264,1,0.14285714285714285,0.9777777777777777,0.24929178470254953
results-CM1-NASA_no_llm-15.json_717b8a99-a3c7-3777-b81a-ba0bd93f3080.md,44,286,1,0.13333333333333333,0.9777777777777777,0.23466666666666663
results-CM1-NASA_no_llm-16.json_92010ecc-cd85-3dba-a809-442c7c01486a.md,45,307,0,0.1278409090909091,1.0,0.22670025188916876
results-CM1-NASA_no_llm-17.json_a737f88d-9f49-3b11-a17e-b4f733eb7cb8.md,45,329,0,0.12032085561497326,1.0,0.21479713603818615
results-CM1-NASA_no_llm-18.json_af18aabb-5a4f-3529-9a00-7c6ea5c239af.md,45,351,0,0.11363636363636363,1.0,0.20408163265306123
results-CM1-NASA_no_llm-19.json_5d5777a1-d900-38d9-9fc2-ac3ca9a515a1.md,45,373,0,0.1076555023923445,1.0,0.1943844492440605
results-CM1-NASA_no_llm-2.json_9368eeba-b193-3e55-8829-f8c97da813b1.md,17,27,28,0.38636363636363635,0.37777777777777777,0.38202247191011235
results-CM1-NASA_no_llm-20.json_77575d57-5abd-3323-9968-b0173a99ce3a.md,45,395,0,0.10227272727272728,1.0,0.18556701030927836
results-CM1-NASA_no_llm-21.json_8dc3c49e-e702-33d5-9470-cb6d6431092b.md,45,417,0,0.09740259740259741,1.0,0.1775147928994083
results-CM1-NASA_no_llm-22.json_92ef4e64-7137-3a54-9bb9-2b0472b19935.md,45,439,0,0.09297520661157024,1.0,0.17013232514177692
results-CM1-NASA_no_llm-23.json_2c7cbadb-44e3-3039-8d63-222e5653c422.md,45,461,0,0.08893280632411067,1.0,0.1633393829401089
results-CM1-NASA_no_llm-24.json_688fd7bb-2bcd-326b-8cd8-9682dbd9483a.md,45,483,0,0.08522727272727272,1.0,0.15706806282722513
results-CM1-NASA_no_llm-25.json_27d70769-1cfd-3e8a-967a-054d5edb7c5f.md,45,505,0,0.08181818181818182,1.0,0.15126050420168066
results-CM1-NASA_no_llm-26.json_a6bc59c6-7002-3182-8b64-0d9eefc769d0.md,45,527,0,0.07867132867132867,1.0,0.1458670988654781
results-CM1-NASA_no_llm-27.json_74737bf7-01bb-383b-9e04-08b5b8a21e51.md,45,549,0,0.07575757575757576,1.0,0.14084507042253522
results-CM1-NASA_no_llm-28.json_0b877950-d5ce-323c-b26d-245445e5cfd8.md,45,571,0,0.07305194805194805,1.0,0.1361573373676248
results-CM1-NASA_no_llm-29.json_747a5382-79ae-3e6a-9deb-fb8e8466f549.md,45,593,0,0.07053291536050156,1.0,0.13177159590043921
results-CM1-NASA_no_llm-3.json_5ff76104-100b-34fd-a8be-a9ddf6bb375c.md,22,44,23,0.3333333333333333,0.4888888888888889,0.3963963963963964
results-CM1-NASA_no_llm-30.json_1dea18de-e9af-3529-be6f-26d2c878605f.md,45,615,0,0.06818181818181818,1.0,0.1276595744680851
results-CM1-NASA_no_llm-4.json_1e0f877b-aa91-3b2f-aac0-408331095671.md,29,59,16,0.32954545454545453,0.6444444444444445,0.4360902255639098
results-CM1-NASA_no_llm-5.json_ea1560ac-f0ee-3afe-9b10-391c3a457782.md,33,77,12,0.3,0.7333333333333333,0.4258064516129032
results-CM1-NASA_no_llm-6.json_f7054efd-713e-3963-a689-97fa608ebf6b.md,35,97,10,0.26515151515151514,0.7777777777777778,0.39548022598870064
results-CM1-NASA_no_llm-7.json_969f07a3-8229-3369-8ab8-22076d40eb32.md,36,118,9,0.23376623376623376,0.8,0.3618090452261306
results-CM1-NASA_no_llm-8.json_97f710fa-0a1a-39e1-a495-688bbda1d036.md,37,139,8,0.21022727272727273,0.8222222222222222,0.334841628959276
results-CM1-NASA_no_llm-9.json_6bfc9e36-d7d9-3884-90aa-28170732aaa8.md,40,158,5,0.20202020202020202,0.8888888888888888,0.3292181069958848
results-GANNT_no_llm-1.json_a4938aa4-b197-37b3-aab5-e4ee122a47ad.md,14,3,54,0.8235294117647058,0.20588235294117646,0.32941176470588235
results-GANNT_no_llm-10.json_90f040b6-1d8d-3d71-81f1-36205a452baa.md,46,124,22,0.27058823529411763,0.6764705882352942,0.3865546218487395
results-GANNT_no_llm-11.json_8b392c89-3867-371f-ad53-276516020f03.md,48,139,20,0.25668449197860965,0.7058823529411765,0.37647058823529417
results-GANNT_no_llm-12.json_498653af-ccc1-3d7a-a21e-c652df842670.md,50,154,18,0.24509803921568626,0.7352941176470589,0.3676470588235294
results-GANNT_no_llm-13.json_35c63de5-95e8-3ddf-b699-41714c385a37.md,51,170,17,0.23076923076923078,0.75,0.3529411764705882
results-GANNT_no_llm-14.json_67a45574-050d-3f88-a657-ffae31515b41.md,52,186,16,0.2184873949579832,0.7647058823529411,0.33986928104575165
results-GANNT_no_llm-15.json_87e54233-01c0-3774-917b-fbef6bbeb4b2.md,55,200,13,0.21568627450980393,0.8088235294117647,0.3405572755417957
results-GANNT_no_llm-16.json_a9c7e496-3e20-38d1-9e5b-c5c5f0920d3e.md,55,217,13,0.20220588235294118,0.8088235294117647,0.32352941176470595
results-GANNT_no_llm-17.json_7234c38b-0c29-3aaf-80bc-aed9823508ce.md,55,234,13,0.1903114186851211,0.8088235294117647,0.30812324929971985
results-GANNT_no_llm-18.json_d5317c41-b78c-3097-81fc-5e366ec25f95.md,55,251,13,0.17973856209150327,0.8088235294117647,0.2941176470588235
results-GANNT_no_llm-19.json_e83983ae-cb17-3da1-aec8-c57d818212ed.md,56,267,12,0.17337461300309598,0.8235294117647058,0.2864450127877238
results-GANNT_no_llm-2.json_d848b3c3-cc3d-3516-9cbc-dac69f837430.md,24,10,44,0.7058823529411765,0.35294117647058826,0.4705882352941177
results-GANNT_no_llm-20.json_c26b6e22-9677-3ab6-90be-155192805e83.md,57,283,11,0.1676470588235294,0.8382352941176471,0.27941176470588236
results-GANNT_no_llm-21.json_ce3c63ac-232a-376c-b640-283342e0b7d2.md,57,300,11,0.15966386554621848,0.8382352941176471,0.26823529411764707
results-GANNT_no_llm-22.json_cc331c57-9286-3084-a107-f7788c279db4.md,58,316,10,0.15508021390374332,0.8529411764705882,0.26244343891402716
results-GANNT_no_llm-23.json_0761b745-4edd-37c0-9576-7bf17c97772d.md,58,333,10,0.1483375959079284,0.8529411764705882,0.25272331154684097
results-GANNT_no_llm-24.json_a5876324-8471-32a1-a865-76a5d18b1353.md,58,350,10,0.14215686274509803,0.8529411764705882,0.2436974789915966
results-GANNT_no_llm-25.json_23d6ac4d-bb0a-34b2-b6ad-917fd6eb19c9.md,58,367,10,0.13647058823529412,0.8529411764705882,0.23529411764705882
results-GANNT_no_llm-26.json_31038aad-a88f-3171-a3a1-72f5033c21b5.md,60,382,8,0.13574660633484162,0.8823529411764706,0.23529411764705882
results-GANNT_no_llm-27.json_08714694-af9f-315f-906e-31b3fe8b85b9.md,60,399,8,0.13071895424836602,0.8823529411764706,0.22770398481973436
results-GANNT_no_llm-28.json_f352cad2-fa1a-3a8e-8695-bf8f0255caee.md,60,416,8,0.12605042016806722,0.8823529411764706,0.22058823529411764
results-GANNT_no_llm-29.json_c416a8c3-6242-3736-b5dd-b6a84ca8f506.md,60,433,8,0.12170385395537525,0.8823529411764706,0.21390374331550802
results-GANNT_no_llm-3.json_fc1a0443-d461-3321-848c-8daaec7a5f41.md,29,22,39,0.5686274509803921,0.4264705882352941,0.4873949579831932
results-GANNT_no_llm-30.json_b5c681f5-505f-3c93-80eb-ec11aa91d5ee.md,61,449,7,0.11960784313725491,0.8970588235294118,0.21107266435986163
results-GANNT_no_llm-4.json_f7eaaebf-1952-39ad-b320-23157f00dcb8.md,37,31,31,0.5441176470588235,0.5441176470588235,0.5441176470588235
results-GANNT_no_llm-5.json_2e3d406d-981c-3813-a75b-aa355526ca2f.md,38,47,30,0.4470588235294118,0.5588235294117647,0.4967320261437909
results-GANNT_no_llm-6.json_66efb138-1d5b-3a79-87d3-b1148dce6d1d.md,40,62,28,0.39215686274509803,0.5882352941176471,0.47058823529411764
results-GANNT_no_llm-7.json_0be7af19-dc74-3b5c-a45b-d7135dfba50d.md,42,77,26,0.35294117647058826,0.6176470588235294,0.44919786096256686
