ProjectName,Approach,Threshold,Precision,Recall,F1,F2
CM1-NASA,LSI,0.25,0.323,0.444,0.374,0.413
CM1-NASA,LSI,0.26,0.322,0.422,0.365,0.397
CM1-NASA,LSI,0.24,0.294,0.444,0.354,0.403
CM1-NASA,LSI,0.27,0.327,0.378,0.351,0.367
CM1-NASA,LSI,0.23,0.282,0.444,0.345,0.398
CM1-NASA,LSI,0.28,0.327,0.356,0.34,0.350
CM1-NASA,LSI,0.21,0.242,0.489,0.324,0.406
CM1-NASA,LSI,0.22,0.241,0.444,0.313,0.380
CM1-NASA,LSI,0.2,0.22,0.533,0.312,0.415
CM1-NASA,LSI,0.29,0.31,0.289,0.299,0.293
CM1-NASA,LSI,0.32,0.355,0.244,0.289,0.260
CM1-NASA,LSI,0.19,0.195,0.533,0.286,0.396
CM1-NASA,LSI,0.33,0.385,0.222,0.282,0.243
CM1-NASA,LSI,0.34,0.429,0.2,0.273,0.224
CM1-NASA,LSI,0.31,0.306,0.244,0.272,0.254
CM1-NASA,LSI,0.17,0.171,0.6,0.266,0.400
CM1-NASA,LSI,0.3,0.282,0.244,0.262,0.251
CM1-NASA,LSI,0.16,0.164,0.644,0.261,0.406
CM1-NASA,LSI,0.18,0.173,0.533,0.261,0.376
CM1-NASA,LSI,0.38,0.636,0.156,0.25,0.184
CM1-NASA,LSI,0.37,0.583,0.156,0.246,0.183
CM1-NASA,LSI,0.15,0.149,0.644,0.242,0.387
CM1-NASA,LSI,0.36,0.538,0.156,0.241,0.182
CM1-NASA,LSI,0.14,0.136,0.667,0.226,0.375
CM1-NASA,LSI,0.35,0.412,0.156,0.226,0.178
CM1-NASA,LSI,0.39,0.667,0.133,0.222,0.158
CM1-NASA,LSI,0.4,0.667,0.133,0.222,0.158
CM1-NASA,LSI,0.13,0.131,0.711,0.221,0.377
CM1-NASA,LSI,0.12,0.124,0.733,0.212,0.370
CM1-NASA,LSI,0.61,1,0.111,0.2,0.135
CM1-NASA,LSI,0.59,1,0.111,0.2,0.135
CM1-NASA,LSI,0.6,1,0.111,0.2,0.135
CM1-NASA,LSI,0.63,1,0.111,0.2,0.135
CM1-NASA,LSI,0.58,1,0.111,0.2,0.135
CM1-NASA,LSI,0.62,1,0.111,0.2,0.135
CM1-NASA,LSI,0.11,0.113,0.778,0.197,0.357
CM1-NASA,LSI,0.57,0.833,0.111,0.196,0.134
CM1-NASA,LSI,0.56,0.833,0.111,0.196,0.134
CM1-NASA,LSI,0.48,0.714,0.111,0.192,0.134
CM1-NASA,LSI,0.49,0.714,0.111,0.192,0.134
CM1-NASA,LSI,0.45,0.714,0.111,0.192,0.134
CM1-NASA,LSI,0.51,0.714,0.111,0.192,0.134
CM1-NASA,LSI,0.52,0.714,0.111,0.192,0.134
CM1-NASA,LSI,0.53,0.714,0.111,0.192,0.134
CM1-NASA,LSI,0.44,0.714,0.111,0.192,0.134
CM1-NASA,LSI,0.46,0.714,0.111,0.192,0.134
CM1-NASA,LSI,0.54,0.714,0.111,0.192,0.134
CM1-NASA,LSI,0.47,0.714,0.111,0.192,0.134
CM1-NASA,LSI,0.55,0.714,0.111,0.192,0.134
CM1-NASA,LSI,0.5,0.714,0.111,0.192,0.134
CM1-NASA,LSI,0.43,0.625,0.111,0.189,0.133
CM1-NASA,LSI,0.41,0.625,0.111,0.189,0.133
CM1-NASA,LSI,0.42,0.625,0.111,0.189,0.133
CM1-NASA,LSI,0.1,0.106,0.822,0.188,0.350
CM1-NASA,LSI,0.09,0.094,0.822,0.169,0.322
CM1-NASA,LSI,0.72,1,0.089,0.163,0.109
CM1-NASA,LSI,0.68,1,0.089,0.163,0.109
CM1-NASA,LSI,0.7,1,0.089,0.163,0.109
CM1-NASA,LSI,0.66,1,0.089,0.163,0.109
CM1-NASA,LSI,0.64,1,0.089,0.163,0.109
CM1-NASA,LSI,0.69,1,0.089,0.163,0.109
CM1-NASA,LSI,0.71,1,0.089,0.163,0.109
CM1-NASA,LSI,0.67,1,0.089,0.163,0.109
CM1-NASA,LSI,0.65,1,0.089,0.163,0.109
CM1-NASA,LSI,0.08,0.087,0.867,0.159,0.310
CM1-NASA,LSI,0.07,0.082,0.889,0.151,0.299
CM1-NASA,LSI,0.06,0.076,0.933,0.14,0.287
CM1-NASA,LSI,0.05,0.071,0.978,0.132,0.275
CM1-NASA,LSI,0.04,0.061,0.978,0.114,0.244
CM1-NASA,LSI,0.03,0.053,0.978,0.101,0.218
CM1-NASA,LSI,0.02,0.047,0.978,0.09,0.197
CM1-NASA,LSI,0.77,1,0.044,0.085,0.054
CM1-NASA,LSI,0.73,1,0.044,0.085,0.054
CM1-NASA,LSI,0.74,1,0.044,0.085,0.054
CM1-NASA,LSI,0.75,1,0.044,0.085,0.054
CM1-NASA,LSI,0.76,1,0.044,0.085,0.054
CM1-NASA,LSI,0.01,0.042,1,0.081,0.180
CM1-NASA,LSI,0,0.039,1,0.074,0.169
CM1-NASA,LSI,0.78,1,0.022,0.043,0.027
CM1-NASA,LSI,1,1,0,0,0.000
CM1-NASA,LSI,0.87,1,0,0,0.000
CM1-NASA,LSI,0.89,1,0,0,0.000
CM1-NASA,LSI,0.99,1,0,0,0.000
CM1-NASA,LSI,0.88,1,0,0,0.000
CM1-NASA,LSI,0.8,1,0,0,0.000
CM1-NASA,LSI,0.86,1,0,0,0.000
CM1-NASA,LSI,0.94,1,0,0,0.000
CM1-NASA,LSI,0.92,1,0,0,0.000
CM1-NASA,LSI,0.79,1,0,0,0.000
CM1-NASA,LSI,0.95,1,0,0,0.000
CM1-NASA,LSI,0.96,1,0,0,0.000
CM1-NASA,LSI,0.93,1,0,0,0.000
CM1-NASA,LSI,0.82,1,0,0,0.000
CM1-NASA,LSI,0.98,1,0,0,0.000
CM1-NASA,LSI,0.85,1,0,0,0.000
CM1-NASA,LSI,0.81,1,0,0,0.000
CM1-NASA,LSI,0.9,1,0,0,0.000
CM1-NASA,LSI,0.97,1,0,0,0.000
CM1-NASA,LSI,0.84,1,0,0,0.000
CM1-NASA,LSI,0.91,1,0,0,0.000
CM1-NASA,LSI,0.83,1,0,0,0.000
CM1-NASA,VSM,0.13,0.396,0.467,0.429,0.451
CM1-NASA,VSM,0.14,0.45,0.4,0.424,0.409
CM1-NASA,VSM,0.16,0.556,0.333,0.417,0.362
CM1-NASA,VSM,0.15,0.5,0.356,0.416,0.378
CM1-NASA,VSM,0.12,0.343,0.511,0.411,0.465
CM1-NASA,VSM,0.11,0.293,0.533,0.378,0.458
CM1-NASA,VSM,0.17,0.542,0.289,0.377,0.319
CM1-NASA,VSM,0.1,0.25,0.533,0.34,0.435
CM1-NASA,VSM,0.08,0.195,0.667,0.302,0.449
CM1-NASA,VSM,0.09,0.202,0.556,0.296,0.412
CM1-NASA,VSM,0.22,0.615,0.178,0.276,0.207
CM1-NASA,VSM,0.21,0.615,0.178,0.276,0.207
CM1-NASA,VSM,0.07,0.168,0.733,0.274,0.438
CM1-NASA,VSM,0.2,0.5,0.178,0.262,0.204
CM1-NASA,VSM,0.19,0.5,0.178,0.262,0.204
CM1-NASA,VSM,0.18,0.5,0.178,0.262,0.204
CM1-NASA,VSM,0.25,0.7,0.156,0.255,0.185
CM1-NASA,VSM,0.26,0.7,0.156,0.255,0.185
CM1-NASA,VSM,0.06,0.151,0.8,0.254,0.430
CM1-NASA,VSM,0.23,0.636,0.156,0.25,0.184
CM1-NASA,VSM,0.24,0.636,0.156,0.25,0.184
CM1-NASA,VSM,0.27,0.857,0.133,0.231,0.160
CM1-NASA,VSM,0.05,0.129,0.844,0.224,0.400
CM1-NASA,VSM,0.04,0.112,0.889,0.199,0.372
CM1-NASA,VSM,0.03,0.094,0.956,0.171,0.337
CM1-NASA,VSM,0.3,1,0.089,0.163,0.109
CM1-NASA,VSM,0.31,1,0.089,0.163,0.109
CM1-NASA,VSM,0.29,1,0.089,0.163,0.109
CM1-NASA,VSM,0.28,0.8,0.089,0.16,0.108
CM1-NASA,VSM,0.02,0.073,0.956,0.135,0.280
CM1-NASA,VSM,0.37,1,0.067,0.125,0.082
CM1-NASA,VSM,0.36,1,0.067,0.125,0.082
CM1-NASA,VSM,0.34,1,0.067,0.125,0.082
CM1-NASA,VSM,0.33,1,0.067,0.125,0.082
CM1-NASA,VSM,0.32,1,0.067,0.125,0.082
CM1-NASA,VSM,0.35,1,0.067,0.125,0.082
CM1-NASA,VSM,0.01,0.058,1,0.11,0.235
CM1-NASA,VSM,0,0.039,1,0.074,0.169
CM1-NASA,VSM,0.39,1,0.022,0.043,0.027
CM1-NASA,VSM,0.41,1,0.022,0.043,0.027
CM1-NASA,VSM,0.43,1,0.022,0.043,0.027
CM1-NASA,VSM,0.44,1,0.022,0.043,0.027
CM1-NASA,VSM,0.42,1,0.022,0.043,0.027
CM1-NASA,VSM,0.38,1,0.022,0.043,0.027
CM1-NASA,VSM,0.4,1,0.022,0.043,0.027
CM1-NASA,VSM,0.79,1,0,0,0.000
CM1-NASA,VSM,0.66,1,0,0,0.000
CM1-NASA,VSM,0.85,1,0,0,0.000
CM1-NASA,VSM,0.67,1,0,0,0.000
CM1-NASA,VSM,0.77,1,0,0,0.000
CM1-NASA,VSM,0.61,1,0,0,0.000
CM1-NASA,VSM,0.71,1,0,0,0.000
CM1-NASA,VSM,0.5,1,0,0,0.000
CM1-NASA,VSM,0.76,1,0,0,0.000
CM1-NASA,VSM,0.65,1,0,0,0.000
CM1-NASA,VSM,0.46,1,0,0,0.000
CM1-NASA,VSM,0.87,1,0,0,0.000
CM1-NASA,VSM,0.8,1,0,0,0.000
CM1-NASA,VSM,0.74,1,0,0,0.000
CM1-NASA,VSM,0.73,1,0,0,0.000
CM1-NASA,VSM,0.9,1,0,0,0.000
CM1-NASA,VSM,0.64,1,0,0,0.000
CM1-NASA,VSM,0.83,1,0,0,0.000
CM1-NASA,VSM,0.84,1,0,0,0.000
CM1-NASA,VSM,0.53,1,0,0,0.000
CM1-NASA,VSM,0.56,1,0,0,0.000
CM1-NASA,VSM,0.6,1,0,0,0.000
CM1-NASA,VSM,0.82,1,0,0,0.000
CM1-NASA,VSM,0.48,1,0,0,0.000
CM1-NASA,VSM,0.69,1,0,0,0.000
CM1-NASA,VSM,0.94,1,0,0,0.000
CM1-NASA,VSM,0.59,1,0,0,0.000
CM1-NASA,VSM,0.51,1,0,0,0.000
CM1-NASA,VSM,0.55,1,0,0,0.000
CM1-NASA,VSM,0.89,1,0,0,0.000
CM1-NASA,VSM,0.63,1,0,0,0.000
CM1-NASA,VSM,0.58,1,0,0,0.000
CM1-NASA,VSM,0.57,1,0,0,0.000
CM1-NASA,VSM,0.75,1,0,0,0.000
CM1-NASA,VSM,0.45,1,0,0,0.000
CM1-NASA,VSM,0.78,1,0,0,0.000
CM1-NASA,VSM,0.72,1,0,0,0.000
CM1-NASA,VSM,0.92,1,0,0,0.000
CM1-NASA,VSM,0.86,1,0,0,0.000
CM1-NASA,VSM,0.88,1,0,0,0.000
CM1-NASA,VSM,0.54,1,0,0,0.000
CM1-NASA,VSM,0.97,1,0,0,0.000
CM1-NASA,VSM,0.96,1,0,0,0.000
CM1-NASA,VSM,0.49,1,0,0,0.000
CM1-NASA,VSM,0.47,1,0,0,0.000
CM1-NASA,VSM,0.99,1,0,0,0.000
CM1-NASA,VSM,1,1,0,0,0.000
CM1-NASA,VSM,0.95,1,0,0,0.000
CM1-NASA,VSM,0.81,1,0,0,0.000
CM1-NASA,VSM,0.91,1,0,0,0.000
CM1-NASA,VSM,0.7,1,0,0,0.000
CM1-NASA,VSM,0.52,1,0,0,0.000
CM1-NASA,VSM,0.93,1,0,0,0.000
CM1-NASA,VSM,0.98,1,0,0,0.000
CM1-NASA,VSM,0.68,1,0,0,0.000
CM1-NASA,VSM,0.62,1,0,0,0.000
Dronology,LSI,0.51,0.463,0.514,0.487,0.503
Dronology,LSI,0.5,0.447,0.523,0.482,0.506
Dronology,LSI,0.52,0.475,0.482,0.479,0.481
Dronology,LSI,0.49,0.419,0.541,0.472,0.511
Dronology,LSI,0.54,0.497,0.445,0.47,0.455
Dronology,LSI,0.47,0.395,0.573,0.468,0.526
Dronology,LSI,0.48,0.405,0.555,0.468,0.517
Dronology,LSI,0.53,0.483,0.455,0.468,0.460
Dronology,LSI,0.56,0.536,0.409,0.464,0.429
Dronology,LSI,0.46,0.383,0.582,0.462,0.527
Dronology,LSI,0.55,0.514,0.418,0.461,0.434
Dronology,LSI,0.44,0.369,0.609,0.46,0.539
Dronology,LSI,0.45,0.375,0.595,0.46,0.533
Dronology,LSI,0.43,0.36,0.623,0.456,0.544
Dronology,LSI,0.57,0.545,0.386,0.452,0.410
Dronology,LSI,0.58,0.569,0.373,0.451,0.401
Dronology,LSI,0.62,0.685,0.336,0.451,0.374
Dronology,LSI,0.63,0.72,0.327,0.45,0.367
Dronology,LSI,0.59,0.571,0.364,0.444,0.392
Dronology,LSI,0.61,0.618,0.345,0.443,0.378
Dronology,LSI,0.42,0.343,0.623,0.442,0.536
Dronology,LSI,0.6,0.582,0.355,0.441,0.385
Dronology,LSI,0.41,0.323,0.636,0.429,0.533
Dronology,LSI,0.64,0.725,0.3,0.424,0.340
Dronology,LSI,0.4,0.311,0.645,0.42,0.531
Dronology,LSI,0.39,0.302,0.664,0.415,0.536
Dronology,LSI,0.38,0.289,0.668,0.403,0.529
Dronology,LSI,0.65,0.735,0.277,0.403,0.316
Dronology,LSI,0.37,0.274,0.677,0.39,0.523
Dronology,LSI,0.36,0.265,0.691,0.383,0.523
Dronology,LSI,0.66,0.722,0.259,0.381,0.297
Dronology,LSI,0.35,0.257,0.705,0.377,0.523
Dronology,LSI,0.67,0.736,0.241,0.363,0.278
Dronology,LSI,0.34,0.241,0.705,0.359,0.509
Dronology,LSI,0.68,0.75,0.232,0.354,0.269
Dronology,LSI,0.33,0.228,0.709,0.345,0.499
Dronology,LSI,0.69,0.738,0.218,0.337,0.254
Dronology,LSI,0.32,0.216,0.718,0.332,0.490
Dronology,LSI,0.7,0.742,0.209,0.326,0.244
Dronology,LSI,0.31,0.209,0.727,0.325,0.486
Dronology,LSI,0.3,0.201,0.75,0.317,0.485
Dronology,LSI,0.29,0.194,0.764,0.31,0.481
Dronology,LSI,0.71,0.741,0.195,0.309,0.229
Dronology,LSI,0.72,0.75,0.191,0.304,0.224
Dronology,LSI,0.28,0.184,0.773,0.297,0.471
Dronology,LSI,0.74,0.769,0.182,0.294,0.215
Dronology,LSI,0.27,0.179,0.8,0.292,0.472
Dronology,LSI,0.73,0.741,0.182,0.292,0.214
Dronology,LSI,0.75,0.776,0.173,0.283,0.205
Dronology,LSI,0.26,0.168,0.809,0.278,0.459
Dronology,LSI,0.76,0.771,0.168,0.276,0.199
Dronology,LSI,0.25,0.161,0.832,0.269,0.454
Dronology,LSI,0.24,0.153,0.845,0.259,0.444
Dronology,LSI,0.77,0.756,0.155,0.257,0.184
Dronology,LSI,0.23,0.145,0.855,0.248,0.432
Dronology,LSI,0.22,0.137,0.868,0.236,0.420
Dronology,LSI,0.21,0.129,0.882,0.226,0.407
Dronology,LSI,0.2,0.123,0.909,0.217,0.399
Dronology,LSI,0.78,0.737,0.127,0.217,0.152
Dronology,LSI,0.19,0.116,0.927,0.206,0.387
Dronology,LSI,0.18,0.109,0.936,0.195,0.372
Dronology,LSI,0.17,0.101,0.941,0.182,0.353
Dronology,LSI,0.79,0.697,0.105,0.182,0.126
Dronology,LSI,0.16,0.092,0.945,0.168,0.331
Dronology,LSI,0.8,0.714,0.091,0.161,0.110
Dronology,LSI,0.15,0.085,0.95,0.157,0.313
