File,True Positives,False Positives,False Negatives,Precision,Recall,F1
results-CM1-NASA-and-gpt4o-mini.json_8e633749-6c99-3713-8924-e9f7e2fe5824.md,44,227,1,0.16236162361623616,0.9777777777777777,0.27848101265822783
results-CM1-NASA-and-gpt4o.json_90fcc1b5-84b4-338b-b130-bdf243e8448a.md,42,116,3,0.26582278481012656,0.9333333333333333,0.4137931034482759
results-CM1-NASA-and.json_ce9d98a1-3525-38e6-a44b-b6d8f8e49777.md,45,258,0,0.1485148514851485,1.0,0.25862068965517243
results-CM1-NASA-gemma2-2b.json_f68a0350-a834-302c-b628-9762cfe5cf33.md,45,988,0,0.04356243949661181,1.0,0.08348794063079777
results-CM1-NASA-gemma2-9b.json_0b334602-c867-3efe-b35b-b671d664811c.md,45,1084,0,0.03985828166519043,1.0,0.0766609880749574
results-CM1-NASA-mistral-nemo.json_7737e6f6-bb63-3334-ae06-a8f399598491.md,45,486,0,0.0847457627118644,1.0,0.15625
results-CM1-NASA-mv-gpt4o-mini.json_c1deeba7-75c6-3e2f-86ea-9d1bbee50043.md,44,320,1,0.12087912087912088,0.9777777777777777,0.215158924205379
results-CM1-NASA-mv.json_4c3c8b08-dcd8-32b1-a7db-75a4e15af205.md,45,478,0,0.08604206500956023,1.0,0.15845070422535212
results-CM1-NASA-phi4.json_f6e094e0-cd00-3090-8df6-0c31daa187f2.md,45,267,0,0.14423076923076922,1.0,0.25210084033613445
results-dronology-and-gpt4o-mini.json_ce2ad206-05cb-3ca9-95d9-62dea7f22757.md,200,1971,20,0.09212344541685859,0.9090909090909091,0.1672940192388122
results-dronology-and-gpt4o.json_c2655ea4-96a6-3842-a476-c043f4b1f63c.md,189,1018,31,0.15658657829328915,0.8590909090909091,0.2648913805185704
results-dronology-and.json_8db25d85-590d-3db9-938e-bbd473bf7393.md,205,2285,15,0.0823293172690763,0.9318181818181818,0.15129151291512913
results-dronology-gemma2-2b.json_e6aa7e97-bd5c-36d9-a8bd-cd383ca2a130.md,220,19058,0,0.011411972196285921,1.0,0.02256641706841727
results-dronology-gemma2-9b.json_340c9e0d-33da-384b-9496-1234222367f8.md,220,18458,0,0.011778563015312132,1.0,0.02328288707799767
results-dronology-mistral-nemo.json_7cfd39cb-76eb-36b1-9482-30e6bb99a921.md,211,5166,9,0.03924121257206621,0.9590909090909091,0.07539753439342506
results-dronology-mv-gpt4o-mini.json_aebdd64f-5ca6-350f-a22c-6be82e5bfa8a.md,211,3361,9,0.059070548712206045,0.9590909090909091,0.11128691983122363
results-dronology-mv.json_6cc42dc4-c55c-3106-b563-faf8d20e42a9.md,219,5281,1,0.039818181818181815,0.9954545454545455,0.07657342657342656
results-dronology-phi4.json_f8853a84-d0a7-37bf-928a-c06da55ba449.md,213,2424,7,0.080773606370876,0.9681818181818181,0.14910745537276862
results-GANNT-and-gpt4o-mini.json_f9260ba1-c502-30b8-8ee4-ea30350ee6b3.md,66,251,2,0.2082018927444795,0.9705882352941176,0.3428571428571429
results-GANNT-and-gpt4o.json_4c4d9ffd-d2e0-31de-9a20-59b77864e8fc.md,62,198,6,0.23846153846153847,0.9117647058823529,0.37804878048780494
results-GANNT-and.json_7b032933-662f-3c20-8e1e-609d863f62f9.md,66,272,2,0.1952662721893491,0.9705882352941176,0.3251231527093596
results-GANNT-gemma2-2b.json_474c6fe1-b65b-39b3-99d2-768fc9dbbe22.md,68,813,0,0.0771850170261067,1.0,0.14330874604847205
results-GANNT-gemma2-9b.json_8261b768-51bc-3335-ad89-602bbf2b3e30.md,67,985,1,0.06368821292775666,0.9852941176470589,0.11964285714285715
results-GANNT-mistral-nemo.json_23bb9c7f-0b10-3e9f-9585-59fd016c998b.md,67,378,1,0.15056179775280898,0.9852941176470589,0.26120857699805067
results-GANNT-mv-gpt4o-mini.json_75138f9d-e314-3177-bcf4-907eb10f74e5.md,67,321,1,0.17268041237113402,0.9852941176470589,0.293859649122807
results-GANNT-mv.json_2302e390-a326-39b3-b51e-7534a042ecdc.md,67,408,1,0.14105263157894737,0.9852941176470589,0.24677716390423576
results-GANNT-phi4.json_56f658da-2f37-31f0-8a98-6bd35c6d8f28.md,67,313,1,0.1763157894736842,0.9852941176470589,0.29910714285714285
results-ModisDataset-and-gpt4o-mini.json_fe5f8bef-640b-312e-9f14-880157bfc443.md,23,44,18,0.34328358208955223,0.5609756097560976,0.42592592592592593
results-ModisDataset-and-gpt4o.json_9649e17f-7239-332d-abce-888826f79b0c.md,12,22,29,0.35294117647058826,0.2926829268292683,0.32
results-ModisDataset-and.json_dd3ea075-d0a8-372f-8d06-0f4a233a3dbd.md,23,49,18,0.3194444444444444,0.5609756097560976,0.40707964601769914
results-ModisDataset-gemma2-2b.json_2afba820-166b-373d-af09-f81777370ed7.md,37,405,4,0.083710407239819,0.9024390243902439,0.15320910973084884
results-ModisDataset-gemma2-9b.json_855f9ee9-17f9-34ed-8ac5-fdf809465f37.md,41,613,0,0.06269113149847094,1.0,0.11798561151079137
results-ModisDataset-mistral-nemo.json_e403d4a7-34ff-3a24-b798-693b9f19349e.md,32,162,9,0.16494845360824742,0.7804878048780488,0.2723404255319149
results-ModisDataset-mv-gpt4o-mini.json_d386508a-3994-31ca-ba31-251dfad84bee.md,32,91,9,0.2601626016260163,0.7804878048780488,0.3902439024390244
results-ModisDataset-mv.json_f341d5ce-a8a9-3367-9baa-b6d031b3bee1.md,32,158,9,0.16842105263157894,0.7804878048780488,0.27705627705627706
results-ModisDataset-phi4.json_288802f6-0ee7-3a95-b421-abd28435684b.md,24,65,17,0.2696629213483146,0.5853658536585366,0.3692307692307692
results-WARC-and-gpt4o-mini.json_52062201-4ca6-3dc7-9392-7dd828653e69.md,121,698,15,0.14774114774114774,0.8897058823529411,0.2534031413612566
results-WARC-and-gpt4o.json_c06f7387-7f87-33bc-9aa9-3eb9e3b84a76.md,117,436,19,0.2115732368896926,0.8602941176470589,0.339622641509434
results-WARC-and.json_036a045a-2854-3890-bec9-78a1c8fd354d.md,124,774,12,0.13808463251670378,0.9117647058823529,0.23984526112185683
results-WARC-gemma2-2b.json_40f1b2b7-db47-3cb5-83d9-0cfe425dbe59.md,136,4912,0,0.02694136291600634,1.0,0.05246913580246914
